db_id,playlist_id,name,description,category,video_count,created_at,last_updated,classification_source,human_verified,is_human_validated,competitor_id,competitor_name,country
206,PLF51BD0D22B6D9622,Villages,,hub,0,2025-07-09 20:12:36.661482,2025-07-09 22:15:23.102996,ai,False,False,2,Center Parcs,United Kingdom
72,PLLV950EiSCvO1py5NhWYgCbMIcJzBw5_4,Canopy by Hilton,,hub,0,2025-07-09 18:38:20.435160,2025-07-09 22:15:22.523777,ai,False,False,3,Hilton,International
73,PLLV950EiSCvOimFYrigYOZGV6RUyG90YS,Waldorf Astoria Hotels & Resorts,,hub,0,2025-07-09 18:38:20.435236,2025-07-09 22:15:22.526745,ai,False,False,3,Hilton,International
83,PL8AB4925941D2308C,Hilton Signature Chefs,,hub,0,2025-07-09 18:38:20.436026,2025-07-09 22:15:22.572143,ai,False,False,3,Hilton,International
236,PL4_9YHQqdJeBCDWiu5NhoNz0-Pu2z1set,Happy Thérapy,,,0,2025-07-11 19:53:29.413142,2025-07-11 19:53:29.413146,ai,False,False,5,Center Parcs France,France
49,PL0i3nKXRS-DCONF0_e1EQWbFlHqleabk-,Through the eyes of...,Experience the Club Med journey through the eyes of...,hero,0,2025-07-05 17:34:20.953843,2025-07-05 17:48:24.780240,ai,False,False,6,Club Med,France
54,PL0i3nKXRS-DCRlQHlQpPEiodqbnNvnVLI,Our villages from the sky | Drone Series,Enjoy a bird's eye view of Club Med resorts,hub,0,2025-07-05 17:34:20.954023,2025-07-05 17:48:24.780907,ai,False,False,6,Club Med,France
336,PL08aBiIheuyC6UBM2f-72IFeRuaJBQmGG,TUI Magic Life,,,0,2025-07-12 22:55:24.484223,2025-07-12 22:55:24.484226,ai,False,False,20,TUI Deutschland,Germany
339,PL08aBiIheuyDhWjJY5yQcEnCWPQtfQAnx,Reisen,,hub,0,2025-07-12 22:55:24.485291,2025-07-21 11:50:02.320180,ai,False,False,20,TUI Deutschland,Germany
345,PL08aBiIheuyA26xnHXZrp8DAD3ThnQKtP,TUI SMILE DEALS FÜR FAMILIEN: TUI Kinderfestpreis ab 149 €,,,0,2025-07-12 22:55:24.486807,2025-07-12 22:55:24.486815,ai,False,False,20,TUI Deutschland,Germany
351,PL08aBiIheuyAJ28vOANAOCY7ygie12LmP,#TUIBeach in Sicht,#TUIBeach in Sicht - Jetzt mitspielen und mit etwas Glück eine TUI BEACH Reise gewinnen: http://www.beach-in-sicht.de,hub,0,2025-07-12 22:55:24.487550,2025-07-21 11:50:08.388207,ai,False,False,20,TUI Deutschland,Germany
